EstablishmentID,InspectionID,Ins_TypeDesc,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,InspectionDate,score,Grade,NameSearch,Intersection,ObjectId
102240,1808811,REGULAR,BROTHER FOOD MART,,2601 VIRGINIA AVE,,LOUISVILLE,KY,40211,PRE-PACKAGED RETAIL,2023/12/01 00:00:00,95,,BROTHER FOOD MART,,4673
101217,1815828,REGULAR,SANDI'S KITCHEN,,5300 CANE RUN RD,,LOUISVILLE,KY,40258,FOOD SERVICE,2024/01/04 00:00:00,98,A,SANDI'S KITCHEN,,4674
100738,1872839,REGULAR,GANDER,,111 S ENGLISH STATION RD,,LOUISVILLE,KY,40245,FOOD SERVICE,2024/08/16 00:00:00,96,A,GANDER,,4675
102651,1858123,REGULAR,FARIS,,10231 BLUE LICK RD,,LOUISVILLE,KY,40229,"RETAIL-FOOD  10,000 SQ FT OR LESS",2024/06/24 00:00:00,95,,FARIS,,4676
100351,1835305,REGULAR,STARBUCKS,,600 TERMINAL DR,,LOUISVILLE,KY,40209,FOOD SERVICE,2024/04/01 00:00:00,96,C,STARBUCKS,,4677
101832,1848939,REGULAR,GARDENCOURT KITCHEN,,1044 ALTA VISTA RD,,LOUISVILLE,KY,40205,FOOD SERVICE,2024/05/20 00:00:00,100,A,GARDENCOURT KITCHEN,,4678
102266,1808810,REGULAR,WHEN I GROW UP,,1400 BERRY BLVD,,LOUISVILLE,KY,40215,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2023/12/01 00:00:00,98,A,WHEN I GROW UP,,4679
101217,1871285,REGULAR,SANDI'S KITCHEN,,5300 CANE RUN RD,,LOUISVILLE,KY,40258,FOOD SERVICE,2024/08/12 00:00:00,96,A,SANDI'S KITCHEN,,4680
100742,1803334,REGULAR,PHO BA LUU,,1019 E MAIN ST,,LOUISVILLE,KY,40206,FOOD SERVICE,2023/11/03 00:00:00,100,A,PHO BA LUU,,4681
102651,1861224,FOLLOWUP,FARIS,,10231 BLUE LICK RD,,LOUISVILLE,KY,40229,"RETAIL-FOOD  10,000 SQ FT OR LESS",2024/06/28 00:00:00,98,A,FARIS,,4682
100351,1837020,FOLLOWUP,STARBUCKS,,600 TERMINAL DR,,LOUISVILLE,KY,40209,FOOD SERVICE,2024/04/08 00:00:00,100,A,STARBUCKS,,4683
101832,1880498,REGULAR,GARDENCOURT KITCHEN,,1044 ALTA VISTA RD,,LOUISVILLE,KY,40205,FOOD SERVICE,2024/09/13 00:00:00,100,A,GARDENCOURT KITCHEN,,4684
102266,1845059,REGULAR,WHEN I GROW UP,,1400 BERRY BLVD,,LOUISVILLE,KY,40215,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,2024/05/07 00:00:00,99,A,WHEN I GROW UP,,4685
101256,1829073,REGULAR,KY CATTLEMEN'S ASSN SW6,,937 PHILLIPS LN,,LOUISVILLE,KY,40209,FOOD SERVICE,2024/02/16 00:00:00,99,A,KY CATTLEMEN'S ASSN SW6,,4686
100742,1853179,REGULAR,PHO BA LUU,,1019 E MAIN ST,,LOUISVILLE,KY,40206,FOOD SERVICE,2024/06/05 00:00:00,98,A,PHO BA LUU,,4687
102654,1816201,REGULAR,SWEET SAVANNAH'S FROZEN YOGURT & TOPPINGS,,10108 TAYLORSVILLE RD,,LOUISVILLE,KY,40299,FOOD SERVICE,2024/01/05 00:00:00,100,A,SWEET SAVANNAH'S FROZEN YOGURT & TOPPINGS,,4688
102268,1801948,REGULAR,FAMILY DOLLAR #31859,,2421 W MARKET ST,,LOUISVILLE,KY,40212,PRE-PACKAGED RETAIL,2023/11/02 00:00:00,96,,FAMILY DOLLAR #31859,,4689
100351,1799966,REGULAR,STARBUCKS,,600 TERMINAL DR,,LOUISVILLE,KY,40209,FOOD SERVICE,2023/10/26 00:00:00,97,A,STARBUCKS,,4690
100743,1809304,REGULAR,LANDMARK RECOVERY,,4418 MALCOLM AVE,,LOUISVILLE,KY,40215,FOOD SERVICE,2023/12/04 00:00:00,100,A,LANDMARK RECOVERY,,4691
101835,1796834,REGULAR,FANTE'S COFFEE,,2501 GRINSTEAD DR,,LOUISVILLE,KY,40206,FOOD SERVICE,2023/10/16 00:00:00,100,A,FANTE'S COFFEE,,4692
101256,1868734,REGULAR,KY CATTLEMEN'S ASSN SW6,,937 PHILLIPS LN,,LOUISVILLE,KY,40209,FOOD SERVICE,2024/08/01 00:00:00,98,A,KY CATTLEMEN'S ASSN SW6,,4693
